top - 01:55:04 up  1:00,  0 users,  load average: 1.67, 1.61, 1.31
Tasks: 327 total,   2 running, 247 sleeping,   0 stopped,   0 zombie
%Cpu(s): 29.9 us, 16.4 sy,  0.0 ni, 50.0 id,  3.7 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 16082196 total, 10305780 free,  2488192 used,  3288224 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used. 12771592 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   5202 atlas     20   0   32.4g 133232 105488 S   0.0  0.8   0:07.05 chrome
   5285 atlas     20   0   32.4g  57252  42152 S   0.0  0.4   0:05.04 chrome
   5495 atlas     20   0 1402.0g 537760 148772 S   0.0  3.3  11:08.71 chrome
   5550 atlas     20   0   60244  33492  18928 S   0.0  0.2   0:00.08 applet.py
   5598 atlas     20   0 1392.1g 159880 115504 S   0.0  1.0   0:02.65 chrome
   5606 atlas     20   0 1392.1g 148032 114192 S   0.0  0.9   0:01.04 chrome
   5635 atlas     20   0  406400  49468  31064 S   0.0  0.3   0:12.32 mintrepo+
   5700 atlas     20   0   32.6g  81792  67488 S   0.0  0.5   0:00.17 chrome
   5721 atlas     20   0 1393.8g 319404 148636 S   0.0  2.0   0:50.71 chrome
   6253 atlas     20   0 1391.9g  87848  65804 S   0.0  0.5   0:00.40 code
   6637 65534     20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/+
   7804 65534     20   0  298488  20772  17856 S   0.0  0.1   0:00.02 packagek+
   8605 65534     20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/+
   8754 65534     20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/+
   8819 65534     20   0       0      0      0 I   0.0  0.0   0:00.79 kworker/+
   9677 65534     20   0       0      0      0 I   0.0  0.0   0:03.07 kworker/+
   9930 65534     20   0       0      0      0 I   0.0  0.0   0:00.20 kworker/+
   9968 65534     20   0       0      0      0 I   0.0  0.0   0:00.16 kworker/+
